Stored: pid: 59, processName: process_59, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873852, assignedCPUID: -1
Stored: pid: 11, processName: process_11, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 8, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 60, processName: process_60, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873852, assignedCPUID: -1
Stored: pid: 61, processName: process_61, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873852, assignedCPUID: -1
Stored: pid: 62, processName: process_62, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873852, assignedCPUID: -1
Stored: pid: 63, processName: process_63, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873852, assignedCPUID: -1
Loaded: pid: 12, processName: process_12, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 64, processName: process_64, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873852, assignedCPUID: -1
Stored: pid: 12, processName: process_12, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 8, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 65, processName: process_65, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873852, assignedCPUID: -1
Stored: pid: 66, processName: process_66, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873852, assignedCPUID: -1
